[2026-03-04 12:55:08] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 12:55:08] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 13:13:30] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 13:13:30] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 13:13:30] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 13:13:30] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 13:13:30] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 13:13:30] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 13:13:30] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/ from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/zap from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/ssl from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/network from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /sql_scanner/report_files from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/sql from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/api from 127.0.0.1
[2026-03-04 13:14:17] [INFO    ] [run] [>] GET /dashboard/api/stats/semgrep from 127.0.0.1
[2026-03-04 13:14:18] [INFO    ] [run] [>] GET /chatbot/get_sessions from 127.0.0.1
[2026-03-04 13:14:18] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 13:14:22] [INFO    ] [run] [>] GET /admin from 127.0.0.1
[2026-03-04 13:14:22] [INFO    ] [auth_bp] [*] Accessing Admin Control Center (User: DivyaViradiya)
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/ from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/network from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/zap from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/ssl from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /sql_scanner/report_files from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/sql from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/api from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/semgrep from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /chatbot/get_sessions from 127.0.0.1
[2026-03-04 13:14:28] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 13:14:31] [INFO    ] [run] [>] GET /admin from 127.0.0.1
[2026-03-04 13:14:31] [INFO    ] [auth_bp] [*] Accessing Admin Control Center (User: DivyaViradiya)
[2026-03-04 13:26:54] [INFO    ] [run] [>] GET /admin from 127.0.0.1
