cwe_id,base_score_mean,base_score_max,base_score_std,confidentiality_impact_numeric_mean,integrity_impact_numeric_mean,availability_impact_numeric_mean,attack_vector_<lambda>,privileges_required_<lambda>,user_interaction_<lambda>,cve_count,av_weight,pr_weight,actual_risk_score
CWE-838,4.6000000000000005,5.4,0.7000000000000006,0.3333333333333333,1.0,0.0,NETWORK,NONE,REQUIRED,3,1.5,1.2,8.28
CWE-840,6.366666666666667,7.5,1.1015141094572207,1.3333333333333333,0.6666666666666666,0.3333333333333333,NETWORK,NONE,NONE,3,1.5,1.2,11.46
CWE-841,4.3,4.3,0.0,0.0,1.0,0.0,NETWORK,LOW,NONE,1,1.5,1.0,6.449999999999999
CWE-843,8.077338129496402,10.0,1.3055660213708933,2.56,2.458181818181818,2.7345454545454544,NETWORK,NONE,REQUIRED,278,1.5,1.2,14.539208633093523
CWE-85,6.4,6.4,0.0,1.0,1.0,0.0,NETWORK,LOW,NONE,1,1.5,1.0,9.600000000000001
CWE-86,5.400000000000001,5.4,0.0,1.0,1.0,0.0,NETWORK,LOW,REQUIRED,3,1.5,1.0,8.100000000000001
CWE-862,6.369187062937063,10.0,1.7978388726824606,1.7333625218914186,1.4057717533887188,1.083479020979021,NETWORK,LOW,NONE,2288,1.5,1.0,9.553780594405595
CWE-863,6.771947527749748,10.0,1.8405807552063025,1.797969543147208,1.7035532994923859,1.0883248730964468,NETWORK,LOW,NONE,991,1.5,1.0,10.157921291624621
CWE-87,6.1,6.1,0.0,1.0,1.0,0.0,NETWORK,NONE,REQUIRED,1,1.5,1.2,10.979999999999999
CWE-88,8.213513513513513,9.8,1.4451477739152108,2.684684684684685,2.5945945945945947,2.6126126126126126,NETWORK,NONE,NONE,111,1.5,1.2,14.784324324324324
CWE-89,8.719531538177796,10.0,1.3256151085419365,2.8931339977851604,2.504614248800295,2.4677002583979326,NETWORK,NONE,NONE,5422,1.5,1.2,15.69515676872003
CWE-90,7.166666666666667,8.8,1.761628034896509,2.0,2.3333333333333335,1.0,NETWORK,NONE,NONE,3,1.5,1.2,12.9
CWE-908,6.51371237458194,9.8,1.6475258848209584,1.8745762711864407,0.7331081081081081,1.9155405405405406,LOCAL,LOW,NONE,299,1.0,1.0,6.51371237458194
CWE-909,6.547499999999999,9.8,1.4672471170747285,2.2,0.75,1.2,LOCAL,NONE,NONE,40,1.0,1.2,7.856999999999999
CWE-91,7.835135135135136,10.0,1.6081763681982248,2.361111111111111,1.9444444444444444,2.0,NETWORK,NONE,NONE,37,1.5,1.2,14.103243243243245
CWE-912,9.3,9.8,0.7071067811865476,3.0,3.0,3.0,ADJACENT_NETWORK,NONE,NONE,2,1.2,1.2,13.392
CWE-913,7.831428571428572,10.0,1.8262419510748151,2.2285714285714286,2.5428571428571427,2.257142857142857,NETWORK,NONE,NONE,35,1.5,1.2,14.09657142857143
CWE-916,6.697435897435897,9.8,1.47870625877153,2.4871794871794872,0.717948717948718,0.5384615384615384,NETWORK,NONE,NONE,39,1.5,1.2,12.055384615384614
CWE-917,9.135555555555555,10.0,1.0629946157242183,2.911111111111111,2.8222222222222224,2.8333333333333335,NETWORK,NONE,NONE,90,1.5,1.2,16.444
CWE-918,7.181414701803051,10.0,1.8578029725264205,2.164804469273743,1.3500697350069735,0.8776077885952712,NETWORK,NONE,NONE,721,1.5,1.2,12.926546463245494
CWE-920,7.5,7.5,0.0,0.0,0.0,3.0,NETWORK,NONE,NONE,1,1.5,1.2,13.5
CWE-921,8.65,9.8,1.6263455967290599,3.0,1.5,1.5,NETWORK,NONE,NONE,2,1.5,1.2,15.57
CWE-922,5.58421052631579,9.8,1.8103233440890345,2.210526315789474,0.3333333333333333,0.2631578947368421,NETWORK,LOW,NONE,114,1.5,1.0,8.376315789473685
CWE-923,5.133333333333333,6.1,1.0598742063723094,0.6666666666666666,1.0,0.0,NETWORK,NONE,NONE,3,1.5,1.2,9.239999999999998
CWE-924,6.540000000000001,9.1,1.944907881280413,0.7,1.8,0.9,NETWORK,NONE,NONE,10,1.5,1.2,11.772000000000002
CWE-939,8.8,8.8,0.0,3.0,3.0,3.0,NETWORK,NONE,REQUIRED,1,1.5,1.2,15.84
CWE-94,8.5202479338843,10.0,1.305527957873299,2.720833333333333,2.7333333333333334,2.6685159500693483,NETWORK,NONE,NONE,726,1.5,1.2,15.336446280991737
CWE-942,5.3,5.3,0.0,0.0,1.0,0.0,NETWORK,NONE,NONE,1,1.5,1.2,9.54
CWE-943,4.3,4.3,0.0,1.0,0.0,0.0,NETWORK,LOW,NONE,1,1.5,1.0,6.449999999999999
CWE-95,8.559999999999999,9.1,0.7162401831787996,2.6,2.6,2.6,NETWORK,LOW,NONE,5,1.5,1.0,12.839999999999998
CWE-98,8.583333333333334,9.8,0.9427554713645944,2.75,3.0,2.75,NETWORK,LOW,NONE,12,1.5,1.0,12.875
CWE-99,5.642857142857143,7.5,1.4638501094228,1.0,0.2857142857142857,0.5714285714285714,NETWORK,LOW,NONE,7,1.5,1.0,8.464285714285715
N/A,7.028188768178422,10.0,1.7703894847757098,1.8459126799814212,1.6975839238006738,1.4678036895231465,NETWORK,NONE,NONE,17397,1.5,1.2,12.650739782721159
NVD-CWE-Other,6.837844611528822,10.0,1.8524159424272317,1.7979201798763351,1.5251333894973322,1.5697020798201238,NETWORK,NONE,NONE,3591,1.5,1.2,12.30812030075188
CWE-97,7.215384615384615,9.8,1.4878408453535914,1.8615384615384616,1.8846153846153846,0.36153846153846153,NETWORK,LOW,REQUIRED,26,1.5,1.0,10.823076923076923
CWE-205,4.72,6.5,1.4368715993686386,1.38,0.0,0.0,LOCAL,LOW,NONE,5,1.0,1.0,4.72
CWE-348,6.5,7.5,0.7071067811865476,1.4,1.4,1.4,NETWORK,NONE,REQUIRED,2,1.5,1.2,11.7
CWE-524,4.45,6.8,1.143095208620868,1.45,0.225,0.0,LOCAL,LOW,NONE,8,1.0,1.0,4.45
CWE-541,5.5,7.5,1.414213562373095,1.5,0.75,0.0,NETWORK,LOW,NONE,2,1.5,1.0,8.25
CWE-615,6.5,7.5,0.5,1.25,1.25,1.25,NETWORK,NONE,NONE,4,1.5,1.2,11.7
CWE-642,8.045454545454545,9.8,1.547963321516248,1.9545454545454546,2.090909090909091,2.090909090909091,NETWORK,NONE,NONE,11,1.5,1.2,14.481818181818182
CWE-643,8.297560975609756,10.0,1.4883907797693994,2.3902439024390244,2.3902439024390244,0.7073170731707317,NETWORK,NONE,NONE,41,1.5,1.2,14.93560975609756
CWE-933,5.9,7.5,1.131370849898476,1.6,0.0,0.0,NETWORK,LOW,NONE,2,1.5,1.0,8.85
CWE-941,5.4,6.5,0.7778174593052023,1.65,0.0,0.0,ADJACENT_NETWORK,LOW,NONE,2,1.2,1.0,6.48
CWE-1004,4.3,6.1,0.848528137423857,1.1,0.0,0.0,NETWORK,NONE,REQUIRED,4,1.5,1.2,7.74
CWE-1022,6.96,8.6,1.118749299440625,1.68,1.68,0.84,NETWORK,NONE,NONE,10,1.5,1.2,12.528
CWE-1275,6.84,8.8,1.2727922061357856,1.4,1.4,1.4,NETWORK,NONE,REQUIRED,5,1.5,1.2,12.312
CWE-1295,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,0,1.0,1.0,0.0
CWE-1395,5.9,7.5,1.131370849898476,1.6,0.0,0.0,NETWORK,LOW,NONE,2,1.5,1.0,8.85
